,Unnamed: 0,Date,Rate,currency,rate,year,month,month_str
92,93,2008-03-01,{'USD': 1.517997},USD,1.517997,2008,3,Mar
93,94,2008-03-01,{'GBP': 0.764627},GBP,0.764627,2008,3,Mar
94,95,2008-03-01,{'JPY': 157.988703},JPY,157.988703,2008,3,Mar
95,96,2008-03-01,{'CNY': 10.799022},CNY,10.799022,2008,3,Mar
96,97,2009-03-01,{'USD': 1.267034},USD,1.267034,2009,3,Mar
97,98,2009-03-01,{'GBP': 0.889866},GBP,0.889866,2009,3,Mar
98,99,2009-03-01,{'JPY': 123.725222},JPY,123.725222,2009,3,Mar
99,100,2009-03-01,{'CNY': 8.66461},CNY,8.66461,2009,3,Mar
100,101,2010-03-01,{'USD': 1.354021},USD,1.354021,2010,3,Mar
101,102,2010-03-01,{'GBP': 0.905197},GBP,0.905197,2010,3,Mar
102,103,2010-03-01,{'JPY': 120.767524},JPY,120.767524,2010,3,Mar
103,104,2010-03-01,{'CNY': 9.243916},CNY,9.243916,2010,3,Mar
104,105,2011-03-01,{'USD': 1.379489},USD,1.379489,2011,3,Mar
105,106,2011-03-01,{'GBP': 0.84744},GBP,0.84744,2011,3,Mar
106,107,2011-03-01,{'JPY': 113.028627},JPY,113.028627,2011,3,Mar
107,108,2011-03-01,{'CNY': 9.063683},CNY,9.063683,2011,3,Mar
108,109,2012-03-01,{'USD': 1.331739},USD,1.331739,2012,3,Mar
109,110,2012-03-01,{'GBP': 0.834498},GBP,0.834498,2012,3,Mar
110,111,2012-03-01,{'JPY': 108.15829},JPY,108.15829,2012,3,Mar
111,112,2012-03-01,{'CNY': 8.38827},CNY,8.38827,2012,3,Mar
112,113,2013-03-01,{'USD': 1.302658},USD,1.302658,2013,3,Mar
113,114,2013-03-01,{'GBP': 0.866412},GBP,0.866412,2013,3,Mar
114,115,2013-03-01,{'JPY': 121.356333},JPY,121.356333,2013,3,Mar
115,116,2013-03-01,{'CNY': 8.12254},CNY,8.12254,2013,3,Mar
116,117,2014-03-01,{'USD': 1.380188},USD,1.380188,2014,3,Mar
117,118,2014-03-01,{'GBP': 0.824291},GBP,0.824291,2014,3,Mar
118,119,2014-03-01,{'JPY': 140.528667},JPY,140.528667,2014,3,Mar
119,120,2014-03-01,{'CNY': 8.477741},CNY,8.477741,2014,3,Mar
120,121,2005-04-01,{'USD': 1.291129},USD,1.291129,2005,4,Apr
121,122,2005-04-01,{'GBP': 0.685725},GBP,0.685725,2005,4,Apr
122,123,2005-04-01,{'JPY': 138.76957},JPY,138.76957,2005,4,Apr
